,match_id,radiant_win,radiant_heroes0,dire_heroes0,radiant_heroes1,dire_heroes1,radiant_heroes2,dire_heroes2,radiant_heroes3,dire_heroes3,radiant_heroes4,dire_heroes4
0,4361106873,0,85,36,1,112,9,71,26,68,35,62
1,4361094647,1,78,1,40,93,5,74,70,82,106,63
2,4361093413,0,1,35,84,111,101,28,94,80,26,44
3,4361092537,1,1,6,71,65,109,2,64,26,79,52
4,4361091549,0,52,1,78,80,11,10,61,112,29,109
5,4361089412,1,14,93,100,59,94,71,121,88,1,109
6,4361089262,0,94,59,18,8,28,14,44,110,23,1
7,4361087811,1,14,11,106,21,95,1,73,100,120,44
8,4361087766,1,52,6,28,59,1,76,2,44,46,62
9,4361087395,1,84,71,4,2,53,1,48,32,119,63
10,4361085357,1,70,2,7,27,41,99,59,1,26,105
11,4361084593,0,44,1,22,35,114,56,19,26,17,100
12,4361084274,0,31,106,86,55,114,6,47,113,104,1
13,4361084257,1,96,1,29,51,120,98,21,93,69,107
14,4361084139,0,60,33,106,44,17,26,9,21,51,1
15,4361082744,1,42,26,56,109,39,3,74,17,1,35
16,4361082442,1,14,114,10,18,63,82,1,31,35,85
17,4361082295,1,93,74,4,99,19,41,14,104,1,30
18,4361080805,1,107,16,101,34,1,104,9,14,23,86
19,4361080469,1,68,93,53,74,41,1,2,105,22,57
20,4361080212,0,1,104,26,101,61,95,41,23,109,8
21,4361080141,1,1,51,99,11,23,6,49,59,55,14
22,4361079873,1,109,65,77,47,7,29,72,18,26,1
23,4361079180,0,114,23,41,8,12,26,74,44,1,39
24,4361079095,0,1,82,35,71,75,5,104,53,10,99
25,4361078750,1,7,12,104,34,50,2,1,67,42,26
26,4361078677,1,36,70,1,69,60,39,7,9,15,84
27,4361077701,0,9,7,8,88,1,21,35,84,101,34
28,4361077652,0,44,75,41,58,1,35,63,48,77,62
29,4361077533,0,72,113,35,58,30,31,70,14,1,93
30,4361077077,0,33,101,10,62,31,14,97,26,92,1
31,4361077023,1,22,95,1,94,84,53,114,14,93,100
