,match_id,radiant_win,radiant_heroes0,dire_heroes0,radiant_heroes1,dire_heroes1,radiant_heroes2,dire_heroes2,radiant_heroes3,dire_heroes3,radiant_heroes4,dire_heroes4
0,4256637959,0,83,47,34,23,74,62,29,71,99,53
1,4256637649,0,62,69,111,81,95,108,84,35,80,34
2,4256637480,1,13,84,92,62,56,40,15,73,12,38
3,4256637308,1,17,38,119,63,110,102,107,39,98,43
4,4256637095,1,106,40,69,76,9,66,80,91,90,84
5,4256636495,0,58,37,52,81,64,82,107,91,62,66
6,4256636245,0,84,96,65,27,14,34,102,15,70,57
7,4256635537,1,30,46,28,25,32,53,93,2,59,114
8,4256635475,1,11,27,112,58,14,103,4,88,83,76
9,4256635409,0,93,97,114,4,32,49,1,101,12,44
10,4256635374,1,26,2,49,91,70,1,31,4,42,17
11,4256635300,0,14,97,17,58,63,8,75,64,44,49
12,4256635135,1,120,75,46,44,34,91,104,19,96,14
13,4256635077,1,93,2,11,14,114,100,85,8,12,33
14,4256635030,1,114,9,71,35,26,62,44,63,21,58
15,4256634997,1,13,2,92,30,18,93,49,21,74,35
16,4256634971,0,114,31,22,111,33,64,101,52,61,23
17,4256634850,0,102,35,51,99,120,21,98,73,85,93
18,4256634767,1,49,94,38,73,35,28,52,69,88,37
19,4256634672,1,1,63,2,59,6,39,20,85,50,74
20,4256634582,1,112,11,16,32,19,2,103,30,18,113
21,4256634355,0,11,109,120,18,71,84,35,2,93,34
22,4256634297,1,44,8,82,70,41,74,26,33,32,121
23,4256634175,1,70,13,2,63,41,62,44,47,35,95
24,4256634140,1,86,45,95,88,106,70,101,119,6,26
25,4256634136,0,12,31,99,17,1,35,54,16,103,82
26,4256634119,0,14,45,21,4,79,82,52,2,55,73
27,4256634086,0,106,104,26,31,97,114,25,60,95,6
28,4256634082,1,114,62,56,70,6,51,29,119,50,106
29,4256634025,1,70,42,9,110,35,113,82,33,13,69
30,4256633738,0,93,87,48,99,18,8,71,80,68,14
31,4256633687,0,77,98,14,6,56,22,25,20,84,1
32,4256633672,0,91,25,48,21,32,56,2,7,26,59
33,4256633573,1,83,79,95,81,2,46,72,74,18,35
34,4256633417,1,10,14,93,86,112,17,99,42,26,44
35,4256633280,0,8,16,67,66,46,76,103,59,108,63
36,4256633223,0,35,99,60,54,5,103,9,14,84,11
37,4256633178,1,8,94,26,75,104,3,62,4,17,39
38,4256633153,1,93,121,71,12,52,14,102,101,47,73
39,4256632966,0,51,99,6,48,26,63,114,50,7,44
40,4256632835,1,44,105,2,100,83,93,50,11,59,6
