,match_id,radiant_win,radiant_heroes0,dire_heroes0,radiant_heroes1,dire_heroes1,radiant_heroes2,dire_heroes2,radiant_heroes3,dire_heroes3,radiant_heroes4,dire_heroes4
0,4703131232,1,26,8,4,34,68,60,69,87,17,14
1,4703131232,1,26,8,4,34,68,60,69,87,17,14
2,4703131232,1,26,8,4,34,68,60,69,87,17,14
3,4713759161,1,54,64,129,94,10,111,50,106,14,40
4,4703564207,1,71,23,21,59,1,89,129,31,119,26
5,4713883568,0,111,23,6,77,105,87,53,44,74,62
6,4703537037,1,35,47,80,48,53,15,104,1,26,71
7,4713885413,0,69,2,65,46,47,8,75,88,1,83
8,4703527871,1,27,40,44,23,85,35,59,41,9,8
9,4703131232,1,26,8,4,34,68,60,69,87,17,14
10,4713759161,1,54,64,129,94,10,111,50,106,14,40
11,4703564207,1,71,23,21,59,1,89,129,31,119,26
12,4713883568,0,111,23,6,77,105,87,53,44,74,62
13,4703537037,1,35,47,80,48,53,15,104,1,26,71
14,4713885413,0,69,2,65,46,47,8,75,88,1,83
15,4703527871,1,27,40,44,23,85,35,59,41,9,8
16,4703549717,0,1,7,82,28,32,109,86,101,65,22
17,4703281713,1,14,74,111,32,89,65,94,6,96,26
18,4703564918,0,114,13,22,99,28,102,63,6,27,26
19,4703616908,0,23,44,84,1,6,2,71,14,8,114
20,4703586051,0,34,27,74,9,104,25,35,44,26,1
21,4713884315,1,109,88,49,73,17,111,27,95,74,114
22,4713775518,1,16,107,47,112,14,34,25,70,19,6
23,4703063351,0,10,14,32,86,121,12,21,3,43,74
24,4703597241,0,73,74,84,21,95,51,86,88,101,6
25,4703319054,0,84,9,35,47,31,23,10,6,104,74
26,4703503204,1,42,32,77,82,51,65,71,67,70,18
27,4703599246,0,71,93,8,74,64,22,23,14,99,29
28,4703610149,1,84,10,95,4,55,99,47,62,8,22
29,4702232705,1,73,16,91,11,14,70,74,92,36,68
30,4703638276,0,74,21,41,18,17,44,71,28,104,86
31,4703635843,1,74,8,29,99,14,27,26,95,109,6
32,4703587276,0,98,49,59,103,44,2,113,33,106,20
33,4713953685,0,8,90,111,14,21,73,5,81,70,129
34,4703632295,0,45,35,7,68,14,32,21,26,112,82
35,4703678524,1,45,67,89,39,30,23,129,14,121,84
36,4703021793,0,27,87,71,66,64,101,95,119,11,62
37,4703592555,0,35,23,99,10,9,74,7,36,21,26
38,4713677949,0,75,8,32,36,56,77,114,28,51,93
39,4713616620,1,107,83,28,74,82,89,54,121,14,23
40,4703624924,0,74,5,32,41,44,2,14,97,93,99
41,4703101019,1,23,63,75,86,6,18,14,69,3,15
42,4703396751,1,67,64,47,74,26,54,14,16,86,48
43,4713749451,0,1,21,112,62,34,67,86,26,104,6
44,4703146341,0,129,53,46,8,26,22,93,32,100,119
45,4713912254,1,114,86,19,12,57,60,33,82,8,75
46,4713960306,1,121,13,94,73,107,84,29,113,81,16
47,4703508454,0,44,51,85,26,62,129,14,6,76,27
48,4703555975,1,109,21,57,73,102,108,98,59,93,52
49,4703031925,1,8,2,14,55,37,10,104,33,110,114
50,4702951251,1,8,14,52,96,77,59,34,88,71,21
51,4713672694,0,44,14,106,91,75,21,27,82,36,70
52,4703018946,1,74,94,120,53,14,79,41,69,59,8
53,4713771328,0,74,79,6,42,36,71,16,96,84,8
54,4703224273,0,84,22,93,37,51,64,9,106,96,14
55,4713806325,0,89,21,129,7,119,101,64,15,9,55
56,4703571466,0,83,50,129,59,53,2,8,75,96,44
57,4703558365,0,114,88,86,101,23,76,26,78,94,1
58,4713674900,1,69,23,100,112,17,44,106,68,91,129
59,4713802277,0,14,67,43,47,6,101,86,27,16,51
60,4713637486,1,114,87,106,7,26,42,120,21,91,88
61,4713770755,0,106,86,121,42,71,11,26,5,44,81
62,4713701360,0,1,30,68,65,46,87,14,113,90,54
63,4713684422,0,17,36,4,97,29,26,56,44,88,102
64,4713742103,1,55,14,1,20,3,109,71,72,74,88
65,4703271359,1,68,13,37,5,40,93,14,120,21,106
66,4703550852,0,67,45,47,42,75,40,70,95,26,69
67,4703548612,0,114,18,104,71,1,59,12,37,86,26
68,4703619973,1,53,47,14,35,109,94,57,71,32,55
69,4713842759,0,111,101,14,110,6,97,78,54,59,112
70,4703042599,1,81,18,88,66,40,97,79,26,35,76
71,4702807842,1,64,11,106,36,8,74,93,82,97,92
72,4703142170,0,28,13,86,14,1,48,74,56,85,94
73,4713649325,1,55,25,112,59,52,42,86,66,99,76
74,4703589442,1,69,26,21,60,81,89,34,19,53,63
75,4702785868,1,38,106,1,9,28,50,113,31,27,60
76,4703506830,1,27,43,56,58,80,17,68,93,44,73
77,4703657977,1,94,12,6,89,7,84,36,76,70,79
78,4703639914,1,70,74,7,44,17,37,95,50,27,2
79,4701747335,1,85,92,105,50,55,47,17,68,3,36
80,4703324041,0,109,25,67,52,50,73,11,56,37,16
81,4703577819,1,36,114,95,47,29,32,35,110,17,26
82,4703633877,1,75,14,11,8,100,35,39,26,15,57
83,4713772504,1,4,87,79,110,16,12,54,93,100,129
84,4703628425,0,34,64,99,41,65,31,40,32,26,48
85,4703611263,1,110,4,49,44,8,17,27,19,14,26
86,4703433439,1,41,11,36,120,111,10,129,26,21,71
87,4703579109,1,12,35,47,6,14,96,110,15,53,44
88,4703635875,0,87,21,70,15,7,106,109,14,47,99
89,4703484991,1,6,30,75,15,52,28,39,35,98,77
90,4703065259,1,6,114,37,38,2,30,56,89,14,121
91,4703644952,1,35,1,32,85,38,80,100,91,45,73
92,4703596840,1,44,104,50,23,36,75,106,100,87,6
93,4703492957,1,27,63,80,42,2,111,14,45,44,114
94,4713965939,1,11,25,102,52,129,67,19,31,6,105
95,4703084705,1,2,95,114,104,106,83,50,21,79,26
96,4703655886,1,44,104,46,106,69,71,98,81,59,6
97,4703542318,0,8,99,36,101,106,42,121,6,65,84
98,4713910415,1,39,7,18,69,25,73,104,12,68,112
99,4703585653,1,71,96,25,48,27,41,18,64,85,32
100,4703563375,0,63,104,14,11,40,62,32,43,114,7
101,4713853908,1,84,129,54,23,3,28,120,50,46,86
102,4713604557,1,74,21,86,1,6,121,14,58,36,105
103,4701853068,0,102,30,63,39,18,14,92,48,31,15
104,4703583585,0,100,20,64,55,77,92,105,32,12,97
105,4703590815,1,26,44,119,35,105,36,28,39,11,71
106,4703241296,1,9,6,35,21,49,121,27,31,7,53
107,4703298451,0,114,86,62,101,64,102,14,23,19,8
108,4713734086,0,56,61,64,23,105,26,72,114,90,54
109,4702363276,0,93,18,19,92,69,88,74,104,62,14
110,4713675705,1,37,97,93,8,101,36,28,107,25,112
111,4703630678,1,33,67,6,14,58,35,81,86,88,112
112,4713819728,0,121,74,119,50,34,14,70,8,129,69
113,4703587045,1,104,6,58,129,35,82,54,14,4,25
114,4703573665,1,6,121,101,120,5,65,14,46,9,18
115,4703549112,1,31,73,26,21,1,8,105,36,70,65
116,4703223961,0,64,40,67,62,87,54,96,74,30,27
117,4703610014,0,101,6,104,39,74,29,10,27,75,4
118,4712730342,0,6,88,20,2,50,106,74,66,110,22
119,4703569222,1,8,93,26,6,21,58,104,54,14,98
120,4703699804,0,30,11,101,44,8,75,63,21,29,14
121,4713425385,1,20,92,8,5,47,106,86,129,9,33
122,4703546889,0,8,20,120,82,48,104,27,119,17,32
123,4703477405,0,17,21,112,8,129,36,71,7,48,10
124,4703619719,1,114,62,37,21,53,17,99,47,36,13
125,4703366470,0,8,50,26,40,44,27,71,6,80,36
126,4713853444,1,14,111,57,8,25,45,70,121,101,11
127,4703569612,1,8,84,1,23,2,76,50,40,113,93
128,4703604217,0,39,94,96,8,26,27,89,7,50,36
129,4703306782,1,70,22,7,109,121,30,106,71,84,55
130,4703347570,1,48,64,50,53,78,105,17,75,26,42
131,4703509837,0,36,74,21,50,35,30,14,77,4,41
132,4700810245,0,56,29,25,75,66,55,79,27,102,1
133,4713685755,1,14,25,18,21,13,73,42,6,100,81
134,4703583908,1,26,74,42,84,99,72,15,71,48,54
135,4703576619,1,14,39,3,105,2,129,70,6,5,91
136,4703586236,1,84,113,64,9,8,100,22,99,26,54
