,match_id,radiant_win,radiant_heroes0,dire_heroes0,radiant_heroes1,dire_heroes1,radiant_heroes2,dire_heroes2,radiant_heroes3,dire_heroes3,radiant_heroes4,dire_heroes4
0,,1,100,61,99,104,70,83,33,35,74,5
1,,1,98,108,85,35,43,19,119,40,93,27
2,,1,7,109,10,129,6,68,28,76,84,62
3,,0,1,69,35,83,58,32,62,34,7,109
4,,1,112,7,36,11,69,50,4,88,71,1
5,,1,27,43,56,58,80,17,68,93,44,73
6,,1,55,23,25,70,119,112,11,20,5,120
7,,1,22,1,47,57,41,39,69,86,3,23
8,,0,114,46,26,16,67,21,74,90,97,1
9,,1,34,36,5,14,33,55,7,68,60,56
10,,1,41,62,35,83,120,11,103,4,32,95
11,,1,84,36,69,59,11,26,44,32,40,8
12,,0,73,16,14,67,30,25,8,27,51,85
13,,0,50,71,110,106,22,60,27,86,16,67
14,,1,87,96,22,43,9,21,52,60,45,66
15,,0,14,32,41,54,9,30,8,106,7,97
16,,0,26,7,8,71,2,23,57,50,35,67
17,,1,11,71,81,68,90,23,7,99,40,104
18,,0,54,14,21,36,25,58,53,76,6,8
19,,0,62,5,23,6,1,39,88,9,99,42
20,,1,6,82,39,62,44,8,26,90,46,66
21,,1,106,119,14,93,60,120,23,114,50,86
22,,0,91,85,63,65,102,33,95,44,54,94
23,,1,63,7,62,6,44,5,101,1,106,35
24,,0,51,108,47,113,36,75,30,49,41,26
25,,1,36,74,96,91,63,95,41,43,51,6
26,,0,25,7,120,3,27,10,41,9,45,129
27,,1,34,88,41,63,32,87,14,106,84,10
28,,0,54,73,129,65,25,121,107,30,26,72
29,,1,119,22,9,2,51,101,36,106,48,11
30,,1,100,67,120,21,7,45,35,92,85,81
31,,0,100,92,84,36,114,22,119,12,94,26
32,,0,23,5,109,35,65,104,26,14,21,74
33,,0,80,22,91,3,73,30,121,59,27,93
34,,1,10,62,14,129,94,106,45,44,8,17
35,,0,8,26,14,21,62,35,49,1,101,27
36,,1,36,109,114,14,38,9,107,2,102,129
37,,0,62,7,26,65,23,75,44,47,112,67
38,,1,62,9,58,35,106,26,46,102,107,6
39,,0,11,34,60,89,9,59,21,25,54,44
40,,1,62,28,1,25,70,20,87,79,21,54
41,,1,43,87,110,34,5,18,59,94,38,103
42,,1,44,39,75,21,51,110,22,41,26,40
43,,0,7,38,95,9,86,67,14,98,61,26
44,,1,99,105,6,26,74,8,86,41,91,39
45,,1,61,6,114,102,7,94,9,73,30,112
46,,1,50,83,21,63,8,94,107,27,106,13
47,,1,42,93,84,80,57,97,32,59,10,6
48,,0,105,114,14,22,86,68,26,7,59,21
49,,0,60,37,102,74,15,9,50,70,22,78
50,,0,99,16,22,8,26,21,44,84,10,67
51,,1,81,85,87,106,11,69,84,8,33,27
52,,1,73,64,53,110,10,6,52,46,87,14
53,,1,74,50,67,42,29,63,62,35,91,7
54,,1,67,74,102,54,26,13,27,36,21,104
55,,1,120,106,44,26,5,14,68,74,36,78
56,,0,28,8,4,14,7,95,35,6,96,93
57,,0,8,114,31,78,26,101,17,84,96,88
58,,0,30,100,73,7,66,129,74,44,81,21
59,,1,10,48,104,29,108,74,106,86,79,62
60,,1,5,112,106,78,14,25,21,7,10,36
61,,0,35,20,11,1,59,33,113,80,36,6
62,,0,74,23,64,129,27,107,53,93,44,5
63,,0,94,63,84,8,120,103,23,44,93,129
64,,0,84,55,7,94,90,9,29,85,54,15
65,,0,27,34,21,93,26,42,17,6,1,3
66,,0,94,1,67,70,44,26,76,25,54,74
67,,1,42,38,103,2,104,108,46,92,59,96
68,,0,85,62,16,87,11,114,26,28,6,23
69,,1,86,111,60,21,8,50,73,16,14,109
70,,0,9,39,6,10,29,62,41,109,31,2
71,,1,72,9,25,17,75,23,62,61,70,114
72,,0,86,48,65,74,101,99,36,90,54,38
73,,1,26,17,42,86,9,67,114,13,23,14
74,,0,17,112,6,93,7,36,97,27,91,99
75,,0,86,5,30,67,129,64,18,12,34,42
76,,1,99,1,8,21,62,28,73,59,26,120
77,,1,81,44,106,31,63,70,60,35,26,62
78,,0,15,47,113,30,51,58,56,5,93,111
79,,1,29,19,86,58,74,14,8,17,104,54
80,,0,120,51,35,85,44,41,55,47,22,84
81,,1,6,11,22,71,62,60,17,40,14,43
82,,1,86,8,26,14,11,21,65,59,48,16
83,,1,84,105,6,129,62,45,40,47,11,7
84,,1,15,73,88,22,36,35,79,129,23,47
85,,0,73,70,74,26,54,25,55,87,9,98
86,,0,69,62,14,37,1,76,26,8,25,50
87,,0,89,44,81,37,48,21,87,2,45,50
88,,0,19,129,52,87,32,44,59,112,104,42
89,,0,2,52,106,35,8,69,26,5,90,93
90,,0,105,113,50,22,6,108,29,8,11,14
91,,1,30,129,17,60,32,6,42,101,26,35
