,match_id
0,4770395187
1,4770394819
2,4770392853
3,4770392645
4,4770390253
5,4770386662
6,4770386529
7,4770385756
8,4770384615
9,4770384136
10,4770383506
11,4770382743
12,4770382655
13,4770382497
14,4770382459
15,4770382231
16,4770382095
17,4770380680
18,4770380591
19,4770380123
20,4770379325
21,4770379085
22,4770378467
23,4770378196
24,4770377545
25,4770377453
26,4770377139
27,4770377114
28,4770376798
29,4770376743
30,4770376381
31,4770376269
32,4770375773
33,4770375525
34,4770375258
35,4770374907
36,4770374742
37,4770374641
38,4770374558
39,4770374372
40,4770374244
41,4770373947
42,4770373747
43,4770373638
44,4770373409
45,4770373308
46,4770373094
47,4770373091
48,4770372597
49,4770371670
50,4770371645
51,4770371471
52,4770371429
53,4770371237
54,4770371235
55,4770371169
56,4770371120
57,4770371098
58,4770371074
59,4770370376
60,4770370191
61,4770370076
62,4770369875
63,4770369453
64,4770369365
65,4770369205
66,4770369204
67,4770369114
68,4770369113
69,4770369071
70,4770368883
71,4770368683
72,4770368566
73,4770368545
74,4770368506
75,4770368428
76,4770368420
77,4770368336
78,4770368190
79,4770368180
80,4770368088
81,4770368032
82,4770367949
83,4770367947
84,4770367726
85,4770367679
86,4770367656
87,4770367292
88,4770367231
89,4770367018
90,4770367009
91,4770366910
92,4770366739
93,4770366732
94,4770366553
95,4770366407
96,4770366252
97,4770365655
98,4770365654
99,4770365549
100,4770365402
101,4770365380
102,4770365331
103,4770365309
104,4770365156
105,4770365134
106,4770365047
107,4770364701
108,4770364553
109,4770364461
110,4770364407
111,4770364008
112,4770363865
113,4770363699
114,4770363349
115,4770363298
116,4770363246
117,4770363199
118,4770363120
119,4770362936
120,4770362827
121,4770362704
122,4770362680
123,4770362607
124,4770362555
125,4770362487
126,4770362441
127,4770362103
128,4770361906
129,4770361838
130,4770361630
131,4770361523
132,4770361503
133,4770361412
134,4770361299
135,4770361260
136,4770361228
137,4770361225
138,4770361202
139,4770361165
140,4770361029
141,4770360983
142,4770360917
143,4770360832
144,4770360669
145,4770360544
146,4770360261
147,4770360136
148,4770360065
149,4770359866
150,4770359644
151,4770359351
152,4770359115
153,4770358949
154,4770358839
155,4770358814
156,4770358794
157,4770358788
158,4770358674
159,4770358672
160,4770358649
161,4770358559
162,4770358480
163,4770358461
164,4770358377
165,4770358373
166,4770358349
167,4770358279
168,4770358202
169,4770358125
170,4770358049
171,4770358046
172,4770357995
173,4770357835
174,4770357812
175,4770357759
176,4770357735
177,4770357467
178,4770357390
179,4770357250
180,4770356983
181,4770356923
182,4770356895
183,4770356883
184,4770356860
185,4770356802
186,4770356634
187,4770356523
188,4770356342
189,4770356333
190,4770356279
191,4770356181
192,4770356139
193,4770356113
194,4770356110
195,4770356041
196,4770355989
197,4770355811
198,4770355779
199,4770355681
200,4770355584
201,4770355489
202,4770355487
203,4770355468
204,4770355310
205,4770355209
206,4770355112
207,4770355109
208,4770355048
209,4770354984
210,4770354967
211,4770354964
212,4770354936
213,4770354930
214,4770354695
215,4770354653
216,4770354544
217,4770354436
218,4770354372
219,4770354349
220,4770354346
221,4770354304
222,4770354280
223,4770354257
224,4770354235
225,4770354159
226,4770354142
227,4770353956
228,4770353850
229,4770353802
230,4770353776
231,4770353689
232,4770353457
233,4770353371
234,4770353322
235,4770353196
236,4770353123
237,4770353119
238,4770353080
239,4770353055
240,4770353053
241,4770352982
242,4770352893
243,4770352843
244,4770352784
245,4770352775
246,4770352386
247,4770352359
248,4770352237
249,4770352221
250,4770352168
251,4770352154
252,4770352149
253,4770352018
254,4770351983
255,4770351959
256,4770351936
257,4770351917
258,4770351889
259,4770351822
260,4770351716
261,4770351692
262,4770351668
263,4770351667
264,4770351665
265,4770351636
266,4770351529
267,4770351525
268,4770351475
269,4770351471
270,4770351379
271,4770351357
272,4770351356
273,4770351284
274,4770351277
275,4770351188
276,4770351135
277,4770351023
278,4770350950
279,4770350832
280,4770350713
281,4770350642
282,4770350622
283,4770350617
284,4770350599
285,4770350598
286,4770350597
287,4770350592
288,4770350486
289,4770350384
290,4770350381
291,4770350294
292,4770350278
293,4770350255
294,4770350209
295,4770350205
296,4770350143
297,4770350140
298,4770350138
299,4770350072
300,4770350028
301,4770349974
302,4770349951
303,4770349930
304,4770349928
305,4770349926
306,4770349902
307,4770349845
308,4770349780
309,4770349778
310,4770349750
311,4770349691
312,4770349659
313,4770349597
314,4770349553
315,4770349493
316,4770349349
317,4770349344
318,4770349297
319,4770349269
320,4770349095
321,4770349085
322,4770349008
323,4770348983
324,4770348903
325,4770348897
326,4770348873
327,4770348769
328,4770348748
329,4770348607
330,4770348604
331,4770348477
332,4770348458
333,4770348424
334,4770348262
335,4770348186
336,4770348167
337,4770348138
338,4770348057
339,4770347993
340,4770347945
341,4770347906
342,4770347884
343,4770347855
344,4770347810
345,4770347807
346,4770347763
347,4770347455
348,4770347428
349,4770347250
350,4770347234
351,4770347226
352,4770347222
353,4770347177
354,4770347146
355,4770347131
356,4770346986
357,4770346958
358,4770346895
359,4770346866
360,4770346809
361,4770346734
362,4770346625
363,4770346621
364,4770346574
365,4770346558
366,4770346553
367,4770346531
368,4770346511
369,4770346491
370,4770346490
371,4770346445
372,4770346400
373,4770346352
374,4770346299
375,4770346284
376,4770346261
377,4770346257
378,4770346251
379,4770346157
380,4770346112
381,4770346051
382,4770346044
383,4770346039
384,4770345785
385,4770345763
386,4770345762
387,4770345751
388,4770345731
389,4770345711
390,4770345705
391,4770345691
392,4770345690
393,4770345688
394,4770345613
395,4770345597
396,4770345582
397,4770345521
398,4770345500
399,4770345496
400,4770345469
401,4770345468
402,4770345441
403,4770345424
404,4770345344
405,4770345341
406,4770345266
407,4770345238
408,4770345187
409,4770345150
410,4770345109
411,4770345078
412,4770345076
413,4770345075
414,4770345031
415,4770344889
416,4770344886
417,4770344832
418,4770344831
419,4770344830
420,4770344768
421,4770344746
422,4770344722
423,4770344720
424,4770344653
425,4770344621
426,4770344596
427,4770344548
428,4770344517
429,4770344492
430,4770344431
431,4770344429
432,4770344427
433,4770344401
434,4770344382
435,4770344337
436,4770344319
437,4770344314
438,4770344210
439,4770344190
440,4770344053
441,4770344010
442,4770343877
443,4770343855
444,4770343835
445,4770343759
446,4770343743
447,4770343723
448,4770343722
449,4770343616
450,4770343579
451,4770343578
452,4770343564
453,4770343518
454,4770343513
455,4770343500
456,4770343477
457,4770343453
458,4770343449
459,4770343360
460,4770343358
461,4770343316
462,4770343248
463,4770343246
464,4770343168
465,4770343165
466,4770343141
467,4770343123
468,4770343122
469,4770343065
470,4770343025
471,4770343003
472,4770342980
473,4770342962
474,4770342961
475,4770342959
476,4770342921
477,4770342919
478,4770342913
479,4770342912
480,4770342866
481,4770342843
482,4770342735
483,4770342675
484,4770342647
485,4770342645
486,4770342550
487,4770342503
488,4770342480
489,4770342433
490,4770342413
491,4770342397
492,4770342372
493,4770342326
494,4770342321
495,4770342279
496,4770342251
497,4770342162
498,4770342136
499,4770342108
500,4770389649
501,4770389349
502,4770387201
503,4770385747
504,4770383158
505,4770382654
506,4770381821
507,4770380983
508,4770380948
509,4770380627
510,4770379330
511,4770379016
512,4770378886
513,4770378169
514,4770377891
515,4770377766
516,4770377521
517,4770377430
518,4770376417
519,4770375618
520,4770375124
521,4770375089
522,4770374862
523,4770374627
524,4770374595
525,4770374356
526,4770374160
527,4770373970
528,4770373792
529,4770373494
530,4770373469
531,4770373339
532,4770373310
533,4770373309
534,4770373259
535,4770372710
536,4770372617
537,4770372331
538,4770372255
539,4770372215
540,4770371275
541,4770370654
542,4770370604
543,4770370442
544,4770369969
545,4770369671
546,4770369571
547,4770369454
548,4770369254
549,4770369049
550,4770368778
551,4770368729
552,4770368408
553,4770368334
554,4770368299
555,4770367984
556,4770367884
557,4770367768
558,4770367475
559,4770367200
560,4770367145
561,4770366935
562,4770366881
563,4770366711
564,4770366454
565,4770366385
566,4770366291
567,4770366050
568,4770366029
569,4770365793
570,4770365456
571,4770365352
572,4770365330
573,4770364862
574,4770364772
575,4770364765
576,4770364587
577,4770364537
578,4770364409
579,4770363790
580,4770363667
581,4770363021
582,4770362915
583,4770362909
584,4770362837
585,4770362829
586,4770362591
587,4770362558
588,4770362556
589,4770362303
590,4770362195
591,4770362161
592,4770362134
593,4770362074
594,4770361951
595,4770361849
596,4770361836
597,4770361647
598,4770361528
599,4770361449
600,4770361425
601,4770361409
602,4770361323
603,4770361186
604,4770361164
605,4770361056
606,4770360960
607,4770360886
608,4770360880
609,4770360833
610,4770360808
611,4770360664
612,4770360569
613,4770360213
614,4770360190
615,4770359997
616,4770359836
617,4770359750
618,4770359722
619,4770359705
620,4770359672
621,4770359553
622,4770359393
623,4770359313
624,4770359139
625,4770359092
626,4770358989
627,4770358970
628,4770358925
629,4770358718
630,4770358717
631,4770358629
632,4770358530
633,4770358340
634,4770358254
635,4770358148
636,4770358050
637,4770358017
638,4770357989
639,4770357965
640,4770357940
641,4770357939
642,4770357938
643,4770357861
644,4770357765
645,4770357594
646,4770357563
647,4770357503
648,4770357397
649,4770357373
650,4770357367
651,4770357198
652,4770357150
653,4770357103
654,4770356984
655,4770356500
656,4770356450
657,4770356296
658,4770356236
659,4770356232
660,4770356204
661,4770356161
662,4770356046
663,4770355988
664,4770355936
665,4770355834
666,4770355735
667,4770355730
668,4770355701
669,4770355651
670,4770355411
671,4770355370
672,4770355348
673,4770355345
674,4770355278
675,4770355161
676,4770355118
677,4770355053
678,4770354987
679,4770354966
680,4770354935
681,4770354931
682,4770354863
683,4770354837
684,4770354698
685,4770354675
686,4770354567
687,4770354513
688,4770354490
689,4770354466
690,4770354432
691,4770354410
692,4770354327
693,4770354285
694,4770354213
695,4770354119
696,4770354094
697,4770354093
698,4770353843
699,4770353797
700,4770353794
701,4770353661
702,4770353642
703,4770353539
704,4770353464
705,4770353463
706,4770353152
707,4770353033
708,4770353031
709,4770353009
710,4770353006
711,4770352951
712,4770352847
713,4770352776
714,4770352706
715,4770352623
716,4770352602
717,4770352556
718,4770352551
719,4770352459
720,4770352405
721,4770352357
722,4770352284
723,4770352217
724,4770352067
725,4770351465
726,4770351441
727,4770351440
728,4770351372
729,4770351306
730,4770351302
731,4770351264
732,4770351236
733,4770351107
734,4770350863
735,4770350861
736,4770350854
737,4770350811
738,4770350730
739,4770350711
740,4770350681
741,4770350664
742,4770350574
743,4770350512
744,4770350494
745,4770350377
746,4770350374
747,4770350352
748,4770350348
749,4770350165
750,4770349973
751,4770349929
752,4770349900
753,4770349874
754,4770349804
755,4770349802
756,4770349777
757,4770349666
758,4770349662
759,4770349593
760,4770349555
761,4770349469
762,4770349468
763,4770349467
764,4770349443
765,4770349439
766,4770349422
767,4770349386
768,4770349295
769,4770349232
770,4770349208
771,4770349189
772,4770349185
773,4770349136
774,4770349072
775,4770349004
776,4770348931
777,4770348860
778,4770348830
779,4770348766
780,4770348746
781,4770348721
782,4770348675
