,match_id,radiant_win,radiant_heroes0,dire_heroes0,radiant_heroes1,dire_heroes1,radiant_heroes2,dire_heroes2,radiant_heroes3,dire_heroes3,radiant_heroes4,dire_heroes4
0,4262108920,1,104,103,101,90,22,88,12,1,26,93
1,4262104582,1,37,62,44,93,108,1,21,8,59,85
2,4262103913,0,23,1,121,47,42,95,17,33,26,14
3,4262103142,0,44,70,71,102,104,1,101,26,4,2
4,4262100346,0,119,47,4,27,45,34,108,74,79,1
5,4262099508,1,101,1,16,44,34,22,83,35,59,5
6,4262098427,0,86,97,75,59,19,100,76,93,1,50
7,4262097652,1,20,112,1,26,3,42,10,63,99,82
8,4262097143,0,25,8,65,14,82,56,105,1,26,104
9,4262096665,0,68,23,1,45,97,108,79,114,74,14
10,4262096347,0,111,1,26,3,41,93,96,76,106,59
11,4262095912,0,32,70,44,9,104,1,63,2,94,34
12,4262095875,1,31,4,93,47,32,7,61,120,48,1
13,4262095752,1,62,32,104,6,2,75,18,12,1,70
14,4262095534,0,11,109,91,79,30,1,80,40,10,58
15,4262094387,1,41,74,6,18,70,67,17,26,1,8
16,4262094327,0,2,96,56,94,70,81,27,22,8,1
17,4262093981,1,22,44,31,1,35,29,48,46,65,89
18,4262093439,1,104,120,22,48,8,1,71,88,14,35
19,4262093063,1,54,102,1,62,95,22,59,17,93,10
20,4262093012,1,8,7,97,70,14,22,12,101,84,1
21,4262092946,0,49,36,2,53,98,99,29,1,96,80
22,4262092775,1,82,74,1,106,50,83,25,26,2,29
23,4262092498,1,41,6,14,8,10,64,62,17,1,73
24,4262092437,0,75,1,12,89,44,26,10,14,106,62
25,4262092396,0,35,84,17,1,41,95,74,93,14,36
26,4262092357,0,96,1,41,44,38,97,114,14,35,32
27,4262091742,0,8,1,16,14,84,26,22,59,28,11
28,4262091402,0,105,41,1,18,62,28,8,26,70,14
29,4262091235,0,26,25,99,7,101,84,67,44,22,1
30,4262091211,0,48,6,84,30,1,35,86,2,79,36
31,4262091066,1,32,74,26,1,46,6,17,44,82,31
32,4262090946,1,25,1,32,82,93,72,44,109,41,90
33,4262090843,1,1,104,14,8,44,101,26,29,35,84
34,4262090842,0,14,112,81,26,44,82,11,1,69,59
35,4262090454,1,23,68,48,67,10,17,58,1,121,84
36,4262090383,1,90,1,64,84,49,8,114,26,80,21
37,4262090378,1,80,36,109,29,14,50,86,112,93,1
38,4262090282,1,97,32,1,23,26,94,112,7,59,106
