,match_id,radiant_win,radiant_heroes0,dire_heroes0,radiant_heroes1,dire_heroes1,radiant_heroes2,dire_heroes2,radiant_heroes3,dire_heroes3,radiant_heroes4,dire_heroes4
0,4295309816,0,74,23,22,59,9,55,44,8,7,14
1,4295308846,1,55,80,74,105,31,5,27,25,104,19
2,4295308824,0,35,94,69,104,101,29,44,31,55,109
3,4295308684,0,7,42,26,1,40,14,41,48,35,55
4,4295308565,1,27,55,61,34,101,14,6,35,93,47
5,4295308127,1,32,41,20,100,19,112,55,12,35,105
6,4295308112,1,66,12,10,16,9,59,55,71,84,99
7,4295307798,1,74,55,109,67,50,68,72,1,20,22
8,4295307527,0,84,9,42,55,121,69,23,114,14,29
9,4295307491,1,10,101,93,45,71,55,12,111,74,6
10,4295307399,1,55,82,114,86,41,14,75,98,44,49
11,4295307245,1,32,14,35,1,55,26,9,7,2,44
12,4295307235,1,14,55,20,7,11,84,44,34,96,41
13,4295307089,1,121,67,34,28,84,41,55,6,8,9
14,4295307017,1,22,6,89,55,26,34,101,56,14,99
15,4295306701,0,71,121,87,86,93,17,55,29,74,6
16,4295306686,0,48,104,73,44,72,93,57,55,8,11
17,4295306435,1,55,2,29,6,4,119,35,76,5,8
18,4295306336,1,109,97,55,83,106,44,62,10,71,86
19,4295306335,1,86,20,42,106,14,101,48,108,55,44
20,4295306280,0,64,28,55,72,10,99,8,25,22,31
21,4295306226,1,55,44,19,100,71,75,41,49,39,86
22,4295306053,1,104,14,84,74,55,7,23,121,48,1
23,4295306025,0,55,14,27,64,99,42,74,35,120,22
24,4295305781,0,26,53,35,6,97,22,11,18,41,55
25,4295305660,0,53,42,16,12,63,17,94,44,25,55
26,4295304836,0,41,14,40,5,30,55,110,44,74,17
27,4295304563,1,55,86,59,74,44,1,79,8,30,82
28,4295304511,0,22,8,74,101,1,55,6,71,56,21
29,4295304491,1,100,104,55,62,64,36,39,28,12,21
30,4295303867,0,55,63,11,25,104,44,14,59,2,68
31,4295303643,1,26,35,14,109,45,58,97,86,44,55
32,4295303630,1,89,55,39,110,32,109,20,114,77,82
33,4295303567,1,29,20,42,31,104,55,100,77,97,6
34,4295303445,1,106,55,121,48,114,74,14,45,60,81
35,4295303229,1,33,84,73,86,26,62,55,22,27,109
36,4295303194,1,74,34,10,71,70,8,55,86,68,121
37,4295303138,1,25,29,55,71,54,19,72,40,14,32
38,4295302722,1,84,16,21,1,113,7,90,86,81,55
39,4295302688,1,62,101,48,26,81,6,55,64,35,25
40,4295302501,1,8,55,97,76,100,90,106,107,85,109
41,4295302412,1,55,105,104,12,41,70,46,58,1,40
42,4295302144,0,35,7,81,67,47,26,114,25,58,55
43,4295302030,0,10,8,27,23,71,87,21,14,62,55
44,4295302022,0,55,108,41,104,17,1,121,23,88,31
45,4295302021,1,44,18,54,55,68,98,26,83,58,23
46,4295302008,0,114,34,16,14,48,41,55,26,74,44
47,4295301909,0,56,36,11,14,105,35,8,4,55,62
48,4295301872,1,104,26,25,109,56,23,99,46,55,21
49,4295301430,0,102,107,97,8,100,55,48,120,26,80
50,4295301115,1,1,104,14,35,55,34,26,8,44,36
51,4295300926,0,99,34,55,93,101,119,85,83,40,48
52,4295300813,0,2,95,74,17,71,14,106,47,55,33
53,4295300652,1,26,8,71,29,109,98,55,86,35,6
54,4295300438,1,57,62,1,105,41,35,55,39,6,8
55,4295300374,0,34,53,31,50,100,93,55,56,59,84
