,match_id,radiant_win,radiant_heroes0,dire_heroes0,radiant_heroes1,dire_heroes1,radiant_heroes2,dire_heroes2,radiant_heroes3,dire_heroes3,radiant_heroes4,dire_heroes4
0,4252145739,1,28,74,88,43,27,84,48,1,50,85
1,4252145534,0,13,74,105,114,12,65,42,21,84,75
2,4252145527,1,79,44,101,12,51,112,17,59,69,58
3,4252145409,1,99,57,4,56,71,36,45,84,114,113
4,4252144482,0,66,68,49,48,9,95,14,4,51,69
5,4252144110,1,36,20,15,85,78,67,35,10,42,121
6,4252144057,0,52,87,70,59,79,60,33,35,8,95
7,4252143781,0,34,86,98,25,80,67,26,119,78,12
8,4252143749,0,13,12,92,18,61,98,97,111,41,102
9,4252143677,1,44,71,20,70,74,119,6,83,35,99
10,4252143630,0,22,59,40,21,46,35,80,44,77,91
11,4252143331,1,33,19,63,48,90,83,84,27,49,62
12,4252143263,0,59,45,89,107,12,16,11,55,62,78
13,4252143101,0,93,70,110,75,1,51,13,12,44,109
14,4252143015,1,18,8,70,19,56,60,28,6,99,23
15,4252142852,1,25,11,97,42,6,1,10,23,101,21
16,4252142384,0,34,112,23,113,109,88,85,41,50,36
17,4252142329,0,29,120,44,7,14,8,17,37,64,86
18,4252142299,0,11,28,6,67,36,51,68,30,56,17
19,4252142095,1,63,8,26,56,69,10,35,14,59,62
20,4252141605,1,4,42,9,19,18,47,63,35,113,39
21,4252141479,1,44,26,14,32,8,74,87,84,48,28
22,4252141410,0,6,38,91,50,42,35,25,111,85,29
23,4252141396,1,84,6,81,26,37,34,90,41,7,8
24,4252141145,0,66,56,45,109,62,14,8,12,26,44
25,4252141036,1,59,84,41,46,44,35,72,18,108,105
26,4252140993,1,62,1,71,35,48,60,102,44,106,105
27,4252140988,1,50,44,66,14,121,35,92,2,80,26
28,4252140866,1,35,53,64,17,19,90,6,94,59,74
29,4252140864,0,63,93,62,69,6,32,40,14,68,4
30,4252140755,0,93,44,18,48,120,8,99,14,81,63
31,4252140521,1,41,40,70,91,86,35,110,39,120,76
32,4252140389,0,6,99,121,62,32,1,74,95,39,59
33,4252140056,0,67,87,70,6,22,50,39,32,61,34
34,4252140051,0,95,50,70,75,64,16,114,44,93,36
35,4252139990,1,53,95,48,6,39,98,59,12,96,35
36,4252139960,1,27,3,44,59,95,46,35,41,73,54
37,4252139913,1,89,92,67,74,40,21,39,2,41,105
38,4252139879,0,47,120,17,54,29,70,48,35,80,9
39,4252139657,1,84,95,71,46,22,8,74,34,93,47
40,4252139619,0,57,109,23,68,93,18,6,17,89,79
41,4252139503,0,64,95,18,32,15,100,25,41,46,1
42,4252139466,1,14,41,44,12,6,99,93,87,20,67
43,4252139364,0,57,87,93,11,58,32,26,4,19,8
44,4252139362,1,81,53,95,46,50,27,83,48,41,101
45,4252139281,0,35,63,59,14,74,4,12,83,101,44
46,4252139240,0,22,35,67,26,56,120,32,31,30,14
47,4252139216,0,28,32,27,20,1,9,26,17,74,103
48,4252139145,0,1,67,74,59,17,121,9,25,104,64
49,4252139137,1,18,121,47,1,23,25,71,12,27,26
50,4252139015,1,14,28,68,56,99,73,95,8,74,104
51,4252138996,0,39,103,94,104,27,101,10,84,93,89
52,4252138872,0,74,5,41,11,99,84,8,7,59,10
53,4252138784,0,48,2,94,39,67,71,6,87,14,32
54,4252138663,1,6,41,53,59,108,102,68,36,50,61
55,4252138648,0,102,77,3,93,55,121,28,119,23,82
56,4252138647,0,66,74,64,97,62,47,36,32,41,44
57,4252138611,1,2,108,120,82,35,110,48,23,49,14
58,4252138595,1,114,8,1,2,35,74,95,99,105,41
59,4252138483,1,44,71,93,15,59,8,14,74,35,73
60,4252138455,0,28,27,93,44,82,99,11,7,104,54
61,4252138326,0,17,2,7,35,114,102,11,28,93,9
62,4252138286,0,84,26,104,45,74,14,57,76,83,98
63,4252138249,1,9,21,14,107,95,39,36,35,84,7
64,4252138180,0,44,60,74,12,90,41,86,84,7,6
65,4252137987,0,114,74,88,7,70,84,21,59,26,37
66,4252137982,1,58,20,32,5,4,67,92,47,93,91
67,4252137948,1,92,83,71,73,37,63,70,5,6,10
68,4252137870,0,32,7,21,66,76,11,53,67,44,48
69,4252137866,0,59,50,26,66,86,10,2,48,44,22
70,4252137708,0,76,10,87,34,104,22,35,45,26,7
71,4252137652,1,34,50,35,17,106,110,104,21,26,81
72,4252137646,0,76,74,26,120,47,50,95,41,104,96
73,4252137625,0,9,41,17,35,119,50,68,2,44,71
74,4252137617,0,26,42,45,96,8,109,53,41,14,59
75,4252137610,0,70,41,10,1,25,44,56,71,59,48
76,4252137577,1,39,21,44,48,7,66,8,6,26,35
77,4252137552,0,93,7,120,35,98,73,82,54,63,67
78,4252137543,1,106,105,34,8,93,99,28,35,22,95
79,4252137516,0,25,121,62,48,54,102,26,46,81,28
80,4252137455,1,27,95,101,31,9,110,59,48,37,47
81,4252137415,1,48,35,36,108,12,82,4,63,84,6
82,4252137411,0,86,21,26,14,46,40,93,114,74,10
83,4252137407,1,14,50,31,8,6,16,2,7,27,45
84,4252137387,1,108,8,17,44,1,31,16,75,26,51
85,4252137324,0,47,6,109,25,54,114,62,35,26,12
86,4252137323,1,18,71,35,29,95,26,84,44,27,31
87,4252137301,0,26,20,12,14,73,39,95,16,86,18
88,4252137284,1,12,14,26,71,18,59,25,90,23,31
89,4252137282,1,44,113,35,97,33,95,42,22,26,74
90,4252137267,1,91,9,6,56,26,54,13,114,41,28
91,4252137224,0,6,3,35,47,57,89,99,94,63,40
92,4252137115,1,63,19,121,4,51,85,16,74,84,90
93,4252137089,1,77,15,6,27,20,62,35,71,93,70
94,4252137067,1,6,95,59,25,35,62,37,101,112,99
95,4252137038,0,50,7,15,97,82,120,6,84,83,23
96,4252136975,1,35,67,59,76,82,44,7,50,26,5
97,4252136962,1,7,94,74,62,55,84,71,12,97,73
98,4252136846,0,41,93,7,101,50,33,16,87,44,81
99,4252136843,1,95,65,9,1,114,35,104,93,8,73
100,4252136750,0,17,73,1,14,25,49,84,8,6,92
101,4252136733,1,104,120,22,40,101,94,14,36,48,49
102,4252136696,0,42,70,101,13,114,16,6,68,26,39
103,4252136685,0,14,2,110,10,41,62,44,7,80,86
104,4252136681,0,97,50,44,86,15,87,45,9,101,95
105,4252136601,1,2,75,41,104,34,32,19,114,35,70
106,4252136588,0,121,4,10,62,41,78,88,32,35,2
107,4252136570,1,5,121,74,94,32,105,35,62,17,6
108,4252136539,1,84,12,95,99,70,14,28,4,48,10
109,4252136535,1,2,95,50,49,22,17,14,63,41,44
110,4252136533,1,99,41,5,93,106,20,52,30,14,70
111,4252136525,0,74,2,62,44,25,11,86,97,18,55
112,4252136509,1,35,23,56,14,101,71,59,95,43,6
113,4252136508,1,21,27,50,44,47,26,29,45,70,1
114,4252136457,0,41,59,7,32,18,50,71,19,10,63
115,4252136442,1,44,98,6,3,70,1,12,109,4,35
116,4252136400,1,2,92,29,3,42,121,96,39,98,18
117,4252136394,0,21,95,105,87,4,88,8,36,86,93
118,4252136387,0,45,26,11,71,33,19,79,37,114,94
119,4252136345,1,50,82,47,30,41,101,14,8,48,44
120,4252136286,1,81,63,59,95,73,41,69,75,21,11
121,4252136224,1,36,71,21,101,6,25,59,88,26,90
122,4252136213,1,75,85,32,114,35,102,28,20,63,95
123,4252136199,1,84,73,14,26,44,1,51,58,6,95
124,4252136185,1,42,3,28,8,44,20,63,14,2,23
125,4252136160,1,120,26,25,55,35,61,42,106,102,62
126,4252136153,0,23,8,104,14,26,68,10,17,41,86
127,4252136113,0,22,34,71,35,74,8,23,14,67,44
128,4252136043,0,85,100,19,47,44,32,5,71,1,68
129,4252136009,1,50,78,18,54,68,5,23,36,56,26
130,4252135978,0,32,44,17,50,14,27,22,28,104,6
131,4252135968,0,8,94,62,1,4,74,81,70,6,48
132,4252135936,0,63,119,46,21,42,36,8,70,93,48
133,4252135865,0,101,56,97,14,26,45,44,1,55,37
134,4252135841,1,89,20,99,32,87,44,26,113,80,72
135,4252135840,0,79,106,98,1,103,93,6,100,41,14
136,4252135782,0,83,49,21,112,48,70,42,74,66,67
137,4252135761,0,14,8,74,94,93,18,70,17,97,26
138,4252135736,1,41,26,9,62,76,109,99,84,7,48
139,4252135722,0,42,94,11,6,26,25,114,37,31,104
140,4252135717,1,1,26,64,79,101,73,31,42,29,35
141,4252135634,1,18,26,7,42,11,99,29,6,40,36
142,4252135631,1,93,64,33,84,94,106,16,35,14,120
143,4252135615,1,17,93,4,101,41,2,32,28,34,76
144,4252135609,1,38,53,10,95,50,26,5,25,6,106
145,4252135600,0,14,8,5,28,44,12,26,50,7,86
146,4252135587,1,41,28,103,68,76,84,51,81,88,27
147,4252135586,1,40,41,67,18,93,35,74,84,88,26
148,4252135581,1,48,22,6,63,7,86,26,45,84,35
149,4252135565,0,74,114,35,82,112,81,15,22,44,48
150,4252135554,1,35,100,27,39,44,41,42,2,93,90
151,4252135542,0,22,34,71,8,26,1,112,64,17,69
152,4252135512,0,26,59,121,44,48,4,93,84,99,50
153,4252135500,0,35,47,14,18,1,26,25,32,12,109
154,4252135471,0,38,101,22,99,12,41,95,23,71,8
155,4252135467,1,57,79,80,46,72,94,93,19,4,64
156,4252135422,0,97,62,26,104,17,59,23,35,25,32
157,4252135384,0,44,35,93,110,101,14,88,94,36,83
158,4252135353,1,32,14,91,93,3,62,89,20,99,41
159,4252135342,1,44,35,102,89,93,14,94,42,71,85
160,4252135325,1,114,73,44,8,58,6,93,2,60,1
161,4252135311,1,94,104,26,95,41,109,11,7,12,46
