,match_id,radiant_win,radiant_heroes0,dire_heroes0,radiant_heroes1,dire_heroes1,radiant_heroes2,dire_heroes2,radiant_heroes3,dire_heroes3,radiant_heroes4,dire_heroes4
0,4364237013,0,1,17,11,53,106,95,46,5,59,15
1,4364228367,1,1,10,47,95,44,40,38,30,15,86
2,4364227304,0,33,5,11,14,1,81,38,59,26,21
3,4364223961,1,121,110,1,97,38,105,69,35,74,44
4,4364219812,1,58,74,1,22,9,41,14,89,68,5
5,4364216934,1,97,47,37,29,76,25,21,1,36,20
6,4364216333,0,23,71,14,1,21,96,32,47,12,68
7,4364215361,1,21,44,6,1,86,14,95,74,18,12
8,4364212669,0,82,104,19,44,96,83,1,14,21,94
9,4364212635,0,1,101,94,44,46,28,58,27,121,50
10,4364210562,0,84,99,55,38,44,33,43,75,1,86
11,4364209851,0,1,51,101,14,9,94,35,75,8,5
12,4364209759,0,22,6,120,42,85,109,84,95,23,1
13,4364208645,1,35,11,114,95,5,74,1,2,121,47
14,4364208294,1,1,41,4,56,35,44,22,75,25,105
15,4364207628,1,99,68,73,14,6,7,110,1,30,74
16,4364206105,0,1,74,57,21,105,84,12,102,60,93
17,4364204852,1,6,60,4,98,112,93,1,13,84,67
18,4364204719,0,54,22,35,99,26,1,44,21,42,17
19,4364204673,0,87,35,1,26,34,104,89,27,8,6
20,4364204519,0,14,26,1,2,76,70,42,95,46,59
21,4364203453,1,10,83,38,67,84,1,104,59,78,14
22,4364202780,1,14,1,41,35,82,50,112,2,62,44
23,4364202319,1,1,114,23,93,2,110,56,49,30,33
24,4364202236,0,3,6,34,30,89,47,104,48,1,26
25,4364202006,0,86,67,36,120,14,1,44,2,101,99
26,4364201822,0,114,21,35,101,8,34,1,19,14,113
27,4364201766,0,85,35,78,14,8,86,69,109,94,1
28,4364201584,1,95,100,66,83,94,5,8,1,119,14
29,4364201423,1,1,70,27,82,12,102,43,39,106,35
30,4364200974,1,6,1,26,14,30,37,36,83,121,42
31,4364200513,1,99,70,12,114,74,95,18,1,6,59
32,4364200378,1,12,79,49,71,56,53,89,74,50,1
33,4364200365,1,83,26,1,107,62,84,21,42,14,10
34,4364200320,0,102,44,75,74,1,93,48,35,30,17
35,4364200055,1,121,101,2,98,86,62,1,21,53,95
36,4364199505,1,70,1,14,8,74,6,121,106,28,27
37,4364198922,1,1,8,88,29,5,106,86,17,11,107
38,4364198871,1,114,85,44,1,20,25,74,29,35,121
39,4364198275,0,97,41,44,26,14,31,10,74,1,77
40,4364198193,1,90,99,64,86,14,1,104,69,62,22
41,4364197860,0,100,1,104,8,86,47,10,62,109,76
42,4364197803,0,120,104,52,41,56,38,12,1,58,21
43,4364197598,1,93,25,6,56,80,8,34,1,54,22
44,4364197531,0,1,105,77,92,47,81,101,14,71,98
45,4364197412,0,28,119,52,67,35,32,48,104,21,1
46,4364197345,1,39,63,91,44,86,74,1,26,62,14
47,4364197276,1,74,66,1,30,27,14,6,32,47,67
48,4364197202,1,72,27,14,45,86,77,53,18,113,1
49,4364197094,0,31,26,74,92,93,59,1,23,45,29
50,4364197083,0,8,47,74,1,36,54,35,99,94,28
51,4364196962,1,1,71,4,32,63,14,15,54,62,27
52,4364196958,1,54,14,101,26,58,1,84,74,41,93
53,4364196930,1,7,52,6,4,95,107,93,44,35,1
54,4364196885,0,94,2,47,14,101,74,6,40,31,1
55,4364196479,1,121,50,84,1,4,44,53,101,68,5
56,4364196478,0,6,76,22,85,8,49,48,35,1,67
57,4364196201,0,86,10,1,50,73,93,41,9,76,6
